year,result,school,program,full_or_part,scholarship,nationality,UGPA,graduate_gpa,GRE_Q,GRE_V,GRE_AWA,TOEFL,submitted,days_to_result,updated
2025,Enrolled,Columbia University,MA in Mathematics of Finance,Full-Time,,🇲🇾,3.7,,,,,,,32,5/7/25
2025,Accepted,New York University,MS in Mathematics in Finance,Full-Time,,🇰🇷,3.76,3.8,170,151,2.5,98,,45,5/7/25
2025,Enrolled,Columbia University,Masters in Financial Engineering,Full-Time,,🇺🇸,3.78,3.92,165,167,5.0,,,56,5/6/25
2025,Rejected,Carnegie Mellon University,MS in Computational Finance,Full-Time,,🇺🇸,3.78,3.92,165,167,5.0,,,62,5/6/25
2025,Accepted,Boston University,MS in Mathematical Finance and Financial Technology,Full-Time,"$45,000",🇺🇸,3.78,3.92,165,167,5.0,,,77,5/6/25
2025,Enrolled,Carnegie Mellon University,MS in Computational Finance,Full-Time,,🇨🇳,3.8,3.8,160,158,3.5,,,152,5/6/25
2025,Enrolled,Princeton University,Master in Finance,Full-Time,"$20,000",🇮🇹,4.0,,,,,,,73,5/6/25
2025,Pending,Georgia Institute of Technology,MS in Quantitative and Computational Finance,Full-Time,,🇮🇳,3.35,,170,163,5,113,,,5/6/25
2024,Enrolled,Imperial College London,MSc Mathematics and Finance,Full-Time,,🇹🇷,3.5,3.5,,,,,,162,5/6/25
2026,Enrolled,"University of California, Berkeley",Master of Financial Engineering,Full-Time,,🇮🇹,4.0,3.9,,,,,,35,5/6/25
2025,Accepted,University of Chicago,MS in Financial Mathematics,Full-Time,"$37,000",🇩🇪,3.5,,170,157,,,,41,5/5/25
2025,Accepted,Carnegie Mellon University,MS in Computational Finance,Full-Time,"$15,000",🇩🇪,3.5,,170,157,,,,59,5/5/25
2025,Accepted,Georgia Institute of Technology,MS in Quantitative and Computational Finance,Full-Time,,🇩🇪,3.5,,170,157,,,,23,5/5/25
2025,Rejected,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,🇩🇪,3.5,,170,157,,,,21,5/5/25
2025,Pending,EPFL,Master in Financial Engineering,Full-Time,,🇩🇪,3.5,,170,157,,,,,5/5/25
2025,Rejected,Baruch College,Master in Financial Engineering,Full-Time,,🇩🇪,3.5,,170,157,,,,50,5/5/25
2025,Accepted,Columbia University,MA in Mathematics of Finance,Full-Time,,🇩🇪,3.5,,170,157,,,,8,5/5/25
2025,Rejected,UZH ETH,MS in Quantitative Finance,Full-Time,,🇩🇪,3.5,,170,157,,,,14,5/5/25
2025,Enrolled,Stony Brook University,Master in Quantitative Finance,Full-Time,,🇮🇳,3.28,,,,,,,22,5/5/25
2025,Enrolled,University College London,MSc Computational Finance,Full-Time,,🇮🇪,3.3,3.3,,,,,,67,5/4/25
2025,Rejected,University of Chicago,MS in Financial Mathematics,Full-Time,,🇮🇳,3.72,,,,,101,,42,5/4/25
2025,Rejected,Imperial College London,MSc Mathematics and Finance,Full-Time,,🇬🇧,4.0,,,,,,,170,5/4/25
2025,Rejected,NUS,MS in Financial Engineering,Full-Time,,🇮🇳,3.72,,,,,101,,77,5/4/25
2025,Accepted,Rutgers University,Master of Quantitative Finance,Full-Time,,🇮🇳,3.72,,,,,101,,18,5/4/25
2025,Rejected,NTU,MS in Financial Engineering,Full-Time,,🇮🇳,3.72,,,,,101,,49,5/4/25
2025,Accepted,Fordham University,MS in Quantitative Finance,Full-Time,"$20,000",🇮🇳,4,4,,,,,,42,5/3/25
2025,Enrolled,Columbia University,Masters in Financial Engineering,Full-Time,,🇺🇸,3.85,3.85,,,,,,79,5/2/25
2025,Accepted,University of Chicago,MS in Financial Mathematics,Full-Time,"$28,500",🇻🇳,3.95,,170,160,5.0,,,51,5/2/25
2025,Accepted,University of Chicago,MS in Financial Mathematics,Part-Time,,🇩🇪,3.9,,,,,,,58,5/2/25
2025,Pending,University College London,MSc Computational Finance,Full-Time,,🇹🇷,3.95,,170,158,3.5,,,,5/2/25
2025,Enrolled,University College London,MSc Financial Mathematics,Full-Time,,🇹🇷,3.95,,170,158,3.5,,,67,5/2/25
2025,Accepted,Columbia University,Masters in Financial Engineering,Full-Time,,🇺🇸,3.7,,,,,,,61,5/2/25
2025,Accepted,Carnegie Mellon University,MS in Computational Finance,Full-Time,,🇺🇸,3.4,3.6,170,170,6,,,60,5/2/25
2025,Waitlisted,"University of California, Berkeley",Master of Financial Engineering,Full-Time,,🇨🇳,3.87,3.87,168,158,3.5,106,,,5/2/25
